"Date","Price","Open","High","Low","Vol.","Change %"
"03/12/2026","44.1276","44.0813","44.3040","43.9628","","0.11%"
"03/11/2026","44.0808","44.0652","44.2049","43.9568","","0.03%"
"03/10/2026","44.0654","44.0409","44.1856","43.9437","","0.06%"
"03/09/2026","44.0390","44.0755","44.2232","43.6850","","-0.07%"
"03/06/2026","44.0707","44.0126","44.2111","43.8436","","0.13%"
"03/05/2026","44.0125","43.9591","44.1606","43.8241","","0.12%"
"03/04/2026","43.9593","43.9517","44.0784","43.7915","","0.02%"
"03/03/2026","43.9516","43.9502","44.0529","43.7926","","0.00%"
"03/02/2026","43.9521","43.9201","44.1278","43.8030","","0.06%"
"02/27/2026","43.9254","43.9026","44.0649","43.7792","","0.05%"
"02/26/2026","43.9041","43.8649","44.0324","43.7011","","0.09%"
"02/25/2026","43.8643","43.8564","43.9443","43.7629","","0.02%"
"02/24/2026","43.8576","43.8352","43.9297","43.7690","","0.05%"
"02/23/2026","43.8358","43.8301","43.9476","43.7054","","0.03%"
"02/20/2026","43.8218","43.7580","44.1045","43.6772","","0.15%"
"02/19/2026","43.7579","43.7486","43.8123","43.6690","","0.01%"
"02/18/2026","43.7516","43.7147","43.8539","43.6091","","0.08%"
"02/17/2026","43.7148","43.7087","43.8220","43.6113","","0.01%"
"02/16/2026","43.7091","43.6296","43.8595","43.4737","","0.08%"
"02/13/2026","43.6756","43.6393","43.8687","43.5322","","0.06%"
"02/12/2026","43.6485","43.6399","43.8043","43.5083","","0.02%"
"02/11/2026","43.6401","43.6259","43.6920","43.5704","","0.03%"
"02/10/2026","43.6250","43.5878","43.7008","43.4917","","0.08%"
"02/09/2026","43.5889","43.6024","43.7772","43.3208","","-0.03%"
"02/06/2026","43.6024","43.5308","43.7313","43.4663","","0.16%"
"02/05/2026","43.5313","43.4702","43.6635","43.3836","","0.14%"
"02/04/2026","43.4703","43.4812","43.6669","43.2970","","-0.03%"
"02/03/2026","43.4813","43.4564","43.5615","43.3958","","0.06%"
"02/02/2026","43.4564","43.4919","43.6559","43.3027","","-0.08%"
"01/30/2026","43.4919","43.4401","43.6111","43.3649","","0.12%"
"01/29/2026","43.4401","43.4168","43.5734","43.2449","","0.05%"
"01/28/2026","43.4167","43.4060","43.5002","43.3196","","0.05%"
"01/27/2026","43.3953","43.3603","43.4757","43.2959","","0.08%"
"01/26/2026","43.3603","43.3772","43.4913","43.2266","","-0.04%"
"01/23/2026","43.3772","43.2700","43.4345","43.2200","","0.25%"
"01/22/2026","43.2700","43.2930","43.4314","43.1429","","-0.05%"
"01/21/2026","43.2932","43.2814","43.4150","43.2053","","0.03%"
"01/20/2026","43.2819","43.2653","43.3286","43.2125","","0.04%"
"01/19/2026","43.2653","43.2776","43.3560","43.1751","","-0.04%"
"01/16/2026","43.2825","43.2219","43.4378","43.0552","","0.14%"
"01/15/2026","43.2219","43.1827","43.4355","43.0598","","0.09%"
"01/14/2026","43.1828","43.1546","43.2926","43.0480","","0.07%"
"01/13/2026","43.1546","43.1139","43.2485","43.0397","","0.09%"
"01/12/2026","43.1146","43.0455","43.2767","42.9607","","0.16%"
"01/09/2026","43.0455","43.0394","43.2606","42.9044","","0.01%"
"01/08/2026","43.0396","43.0351","43.0881","42.9780","","0.01%"
"01/07/2026","43.0350","43.0325","43.1629","42.9265","","0.01%"
"01/06/2026","43.0310","43.0352","43.0866","42.9860","","-0.01%"
"01/05/2026","43.0353","43.0291","43.1649","42.8851","","0.01%"
"01/02/2026","43.0291","42.9525","43.1054","42.8322","","0.18%"
"01/01/2026","42.9525","42.9587","42.9662","42.9116","","-0.01%"
